time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-10-07T16:01:09.610Z,36.092,-117.8618333,5.27,1.67,ml,23,55,0.02614,0.17,ci,ci39116904,2019-10-07T16:57:36.680Z,"9km NE of Coso Junction, CA",earthquake,0.3,0.63,0.249,24,reviewed,ci,ci
2019-10-07T16:00:20.050Z,33.5995,-116.808,6.52,0.83,ml,40,35,0.0371,0.25,ci,ci39116888,2019-10-07T16:04:10.159Z,"13km WNW of Anza, CA",earthquake,0.36,0.59,0.164,28,automatic,ci,ci
2019-10-07T15:59:46.740Z,35.6781667,-117.4316667,5.79,0.21,ml,12,97,0.01455,0.12,ci,ci39116872,2019-10-07T17:15:51.632Z,"10km SSW of Searles Valley, CA",earthquake,0.26,0.51,0.165,3,reviewed,ci,ci
2019-10-07T15:49:54.300Z,35.6061667,-117.595,4.05,1.26,ml,20,43,0.02638,0.15,ci,ci39116856,2019-10-07T15:53:36.087Z,"8km ESE of Ridgecrest, CA",earthquake,0.26,0.57,0.217,17,automatic,ci,ci
2019-10-07T15:48:44.787Z,62.1784,-154.346,0,2.2,ml,,,,0.67,ak,ak019cvbp266,2019-10-07T15:52:54.266Z,"107km SE of McGrath, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-10-07T15:42:47.180Z,35.6785,-117.557,6.64,0.67,ml,16,119,0.05719,0.21,ci,ci39116840,2019-10-07T15:46:33.042Z,"12km ENE of Ridgecrest, CA",earthquake,0.5,1.08,0.247,6,automatic,ci,ci
2019-10-07T15:41:53.340Z,59.6848,-138.9382,13.6,1.6,ml,,,,0.5,ak,ak019cvbnkti,2019-10-07T15:44:42.037Z,"47km ENE of Yakutat, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-10-07T15:36:22.860Z,35.8295,-117.6713333,3.05,0.7,ml,10,82,0.06155,0.2,ci,ci39116832,2019-10-07T15:39:54.997Z,"23km N of Ridgecrest, CA",earthquake,0.34,0.49,0.144,6,automatic,ci,ci
2019-10-07T15:34:46.740Z,35.831,-117.6656667,4.46,1.18,ml,19,75,0.05744,0.17,ci,ci39116824,2019-10-07T15:38:29.986Z,"23km N of Ridgecrest, CA",earthquake,0.27,0.54,0.196,13,automatic,ci,ci
2019-10-07T15:34:24.490Z,38.7976685,-122.7389984,0.95,1.19,md,19,51,0.01452,0.05,nc,nc73288120,2019-10-07T17:39:04.124Z,"3km NNE of The Geysers, CA",earthquake,0.21,0.47,0.16,7,automatic,nc,nc
2019-10-07T15:30:13.430Z,35.8766667,-117.6803333,2.57,0.66,ml,10,85,0.07513,0.2,ci,ci39116816,2019-10-07T15:33:50.106Z,"21km ESE of Little Lake, CA",earthquake,0.46,0.66,0.095,9,automatic,ci,ci
2019-10-07T15:21:15.800Z,37.6431656,-118.9514999,4.61,0.88,md,10,129,0.02466,0.01,nc,nc73288115,2019-10-07T17:35:22.030Z,"2km ENE of Mammoth Lakes, CA",earthquake,0.58,0.96,0.17,9,automatic,nc,nc
2019-10-07T15:20:43.969Z,-44.1714,38.8831,10,4.6,mb,,102,14.597,0.92,us,us70005rl8,2019-10-07T16:38:17.040Z,"Prince Edward Islands region",earthquake,13.6,1.9,0.109,25,reviewed,us,us
2019-10-07T15:20:10.670Z,35.9031667,-117.747,7.17,1.62,ml,26,43,0.07362,0.16,ci,ci39116784,2019-10-07T16:57:41.450Z,"15km ESE of Little Lake, CA",earthquake,0.21,0.72,0.156,22,reviewed,ci,ci
2019-10-07T15:18:09.820Z,33.053,-116.4363333,8.54,0.72,ml,16,84,0.08383,0.18,ci,ci39116768,2019-10-07T15:21:57.400Z,"16km E of Julian, CA",earthquake,0.41,1.54,0.185,10,automatic,ci,ci
2019-10-07T15:02:50.810Z,35.658,-117.4498333,5.71,0.98,ml,18,75,0.02245,0.16,ci,ci39116736,2019-10-07T15:06:36.957Z,"13km SSW of Searles Valley, CA",earthquake,0.32,0.56,0.19,8,automatic,ci,ci
2019-10-07T14:51:09.410Z,35.6146667,-117.4881667,4.95,1.61,ml,24,52,0.01546,0.22,ci,ci39116712,2019-10-07T14:54:52.723Z,"17km E of Ridgecrest, CA",earthquake,0.3,0.5,0.227,25,automatic,ci,ci
2019-10-07T14:35:05.220Z,33.7878333,-116.1043333,8.23,0.64,ml,14,97,0.098,0.18,ci,ci39116696,2019-10-07T14:38:45.635Z,"13km NE of Indio, CA",earthquake,0.36,1.66,0.127,12,automatic,ci,ci
2019-10-07T14:29:33.007Z,61.992,-150.3849,18.9,1.1,ml,,,,0.61,ak,ak019cvazj1w,2019-10-07T14:33:16.449Z,"32km NNW of Willow, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-10-07T14:29:25.870Z,33.208,-116.0571667,3.24,1.12,ml,32,67,0.1657,0.27,ci,ci39116680,2019-10-07T14:33:08.600Z,"10km NE of Ocotillo Wells, CA",earthquake,0.38,1.65,0.215,28,automatic,ci,ci
2019-10-07T14:24:56.686Z,62.9396,-150.4486,99.9,1.3,ml,,,,0.37,ak,ak019cvayiaz,2019-10-07T14:33:15.951Z,"70km NNW of Talkeetna, Alaska",earthquake,,0.7,,,automatic,ak,ak
2019-10-07T14:22:12.293Z,-48.8794,123.8094,10,4.8,mb,,129,16.681,0.88,us,us70005rkt,2019-10-07T15:45:11.040Z,"Western Indian-Antarctic Ridge",earthquake,6.5,1.9,0.111,25,reviewed,us,us
2019-10-07T14:19:51.341Z,63.4478,-148.5688,17,0.8,ml,,,,0.19,ak,ak019cvaxfb2,2019-10-07T14:29:34.757Z,"20km ENE of Cantwell, Alaska",earthquake,,0.4,,,automatic,ak,ak
